postTime,title,link,desc
2016-09-29 14:53,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0929/1530.html,关于深业大厦三、五层监控接入我院整体监控工程招标结果的公示
2016-09-29 14:53,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0929/1531.html,关于深业大厦五层日间门诊手术室购置UPS及相关配电设施招标结果的公示
2016-10-09 07:49,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1009/1556.html,供暖系统更换板式交换器改造项目招标通知
2016-10-09 07:52,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1009/1557.html,锅炉房更换浮动盘管换热器改造项目招标通知
2016-10-09 07:53,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1009/1558.html,病案室复印机采购项目招标通知
2016-10-24 11:36,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1024/1616.html,关于纯水机项目院内招标结果的公示
2016-10-21 08:41,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1021/1605.html,污水处理站管道改造更新项目招标通知
2016-10-21 08:42,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1021/1606.html,购置103台打印机招标通知
2016-11-01 08:33,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1101/1636.html,关于超声诊断仪高清采集卡及手控脚踏开关4套院内招标采购公告
2016-11-02 08:27,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1102/1640.html,关于空气压力波治疗仪招标的公告
2016-11-04 10:54,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1104/1645.html,关于购置办公桌项目招标公告
2016-11-04 10:55,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1104/1646.html,关于购置办公椅项目招标公告
2016-12-15 08:42,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1215/1828.html,关于冷冻机招标的公告
2016-12-15 08:43,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1215/1826.html,关于卡式消毒锅招标的公告
2016-12-15 08:43,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1215/1827.html,关于移动式无影灯招标的公告
2016-12-15 08:43,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1215/1825.html,关于角膜曲率仪招标的公告
2016-12-15 08:43,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1215/1824.html,关于角膜测厚仪招标的公告
2016-12-15 08:44,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1215/1823.html,关于妇科综合治疗仪招标的公告
2016-12-16 16:17,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1216/1833.html,关于采购负压吸引器、氧气吸入器及快速接头项目-招标公告
2016-12-16 16:18,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1216/1834.html,关于采购手术转凳及器械柜等项目招标公告
2016-12-16 16:19,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1216/1835.html,关于生殖医学科IVF工作区净化机组增加制冷控制及加湿系统项目招标公告
2016-12-16 16:20,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1216/1836.html,关于购置留观椅及宣教沙发项目招标公告
2016-12-16 16:21,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1216/1837.html,关于采购护士鞋项目招标公告
2016-12-16 16:21,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1216/1838.html,关于采购医护人员毛衣项目招标公告
2016-12-28 08:25,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1228/1870.html,关于手动诊疗椅项目院内招标结果的公示
2016-12-28 08:26,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1228/1871.html,关于空气压力波项目院内招标结果的公示
2016-10-21 08:42,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1021/1606_2.html,购置103台打印机招标通知(2)
2016-12-28 08:26,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1228/1872.html,关于日间手术室医疗设备项目院内招标结果的公示
2016-12-28 08:27,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1228/1873.html,关于为生殖医学科IVF工作区净化机组增加制冷、控制及加湿系统一套项目招标公告
2016-11-28 15:06,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1128/1728.html,关于介入防护用品项目院内招标结果的公示
2016-11-14 09:25,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1114/1681.html,关于新生儿辐射保暖台项目院内招标结果的公示
2016-11-28 15:07,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1128/1729.html,关于微量注射泵项目院内招标结果的公示
2016-11-28 15:09,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1128/1730.html,关于胰岛素泵招标的公告
2016-11-28 15:10,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1128/1731.html,关于多功能牵引床招标的公告
2016-11-28 15:12,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1128/1732.html,关于为日间手术室购置仪器推车、无菌柜等设备的招标公告
2016-11-29 11:29,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1129/1739.html,关于超声诊断科高清采集卡及手控脚踏开关4套招标结果的公示
2016-12-13 10:26,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1213/1800.html,关于ABS病床招标的公告
2016-12-13 10:27,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1213/1801.html,关于8-20℃药品阴凉箱项目院内招标结果的公示
2016-12-13 10:27,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1213/1802.html,关于微型电动手术吸引刀项目院内招标结果的公示
2016-12-15 08:42,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/1215/1829.html,关于子宫切除器招标的公告
2016-09-12 16:57,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0912/1415.html,关于抢救转运车项目院内招标结果的公示
2017-02-28 10:37,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2017/0228/2095.html,关于病媒生物监测及防治项目招标结果的公示
2016-07-26 11:34,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/102.html,有创血压监护仪招标通知
2016-07-26 12:19,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/108.html,医院门诊楼楼顶发光字设计及制作工程项目招标通知
2016-08-08 10:40,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0808/724.html,医用离心机招标通知
2016-08-10 14:13,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0810/937.html,主备供电缆铺设安装招标通知
2016-08-22 08:20,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0822/985.html,抢救转运车招标通知
2016-08-22 14:24,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0822/992.html,建造诊断试剂冷库项目招标通知
2016-08-22 08:20,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0822/986.html,微量泵招标通知
2016-08-22 14:24,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0822/990.html,80台办公台式电脑招标通知
2016-08-22 14:59,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0822/989.html,21台导诊、宣教电视招标通知
2016-08-22 14:58,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0822/988.html,医用气体管道改造项目招标通知
2016-08-22 15:01,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0822/991.html,采购负压真空泵项目招标通知
2016-08-30 08:43,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0830/1027.html,关于纯水机招标的第二次公告
2016-01-07 16:24,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/309.html,微波综合治疗仪项目招标通知
2016-01-06 16:24,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/308.html,检验科离心机项目招标通知
2016-01-08 16:25,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/310.html,智能输液泵项目招标通知
2016-01-11 16:25,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/311.html,心电图机、心电监护仪项目招标通知
2016-01-18 16:25,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/312.html,预真空消毒锅项目招标通知
2016-01-18 16:26,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/313.html,X线射线装置性能检测、控制评价项目招标通知
2016-01-21 16:26,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/314.html,门诊医技综合楼《环境影响报告书》监测招标
2016-03-03 16:31,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/326.html,多参数母亲胎心监护仪招标通知
2016-03-03 16:31,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/325.html,产科医疗设备采购招标通知
2016-03-04 16:31,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/327.html,多普勒超声胎音仪招标通知
2016-05-24 16:38,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/342.html,裂隙灯招标通知
2016-07-26 11:30,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/95.html,纯水机招标通知
2016-05-31 16:38,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/343.html,定量数字化脑电地图仪招标通知
2016-07-26 11:31,西安市第四医院,http://www.grmg.com.cn/news/changjianwenti/yiyuangonggao/2016/0726/97.html,医用冰箱招标通知
